week_start,sku_id,prediction
2026-01-05,SKU00001,19.3021393433127
2026-01-05,SKU00002,162.66988445821372
2026-01-05,SKU00003,5.356588814025813
2026-01-05,SKU00004,10.552741901614372
2026-01-05,SKU00005,9.567106273098783
2026-01-05,SKU00006,12.069227379976883
2026-01-05,SKU00007,21.63176961449638
2026-01-05,SKU00008,6.405052339366004
2026-01-05,SKU00009,5.294187172237943
2026-01-05,SKU00010,6.783230574845107
2026-01-05,SKU00011,6.24607183429324
2026-01-05,SKU00012,5.81464987189239
2026-01-05,SKU00013,13.301852347707383
2026-01-05,SKU00014,5.11355433945028
2026-01-05,SKU00015,13.265236745476944
2026-01-05,SKU00016,34.72835758724548
2026-01-05,SKU00017,4.959345403717162
2026-01-05,SKU00018,6.335922970174649
2026-01-05,SKU00019,21.67201194612476
2026-01-05,SKU00020,71.34199949327326
2026-01-05,SKU00021,5.448828584327374
2026-01-05,SKU00022,7.310539590157663
2026-01-05,SKU00023,8.06643043415566
2026-01-05,SKU00024,5.416602675232781
2026-01-05,SKU00025,7.197639810756653
2026-01-05,SKU00026,5.639418511150067
2026-01-05,SKU00027,21.1391897592564
2026-01-05,SKU00028,5.827998350036488
2026-01-05,SKU00029,14.03227560106048
2026-01-05,SKU00030,18.295517084632014
2026-01-05,SKU00031,8.516803770971016
2026-01-05,SKU00032,4.978420204729798
2026-01-05,SKU00033,6.971570092460827
2026-01-05,SKU00034,7.233712183957795
2026-01-05,SKU00035,7.682087330212588
2026-01-05,SKU00036,37.54191450395543
2026-01-05,SKU00037,6.455011721720282
2026-01-05,SKU00038,10.95635492981744
2026-01-05,SKU00039,8.247728686618018
2026-01-05,SKU00040,9.081688740742011
2026-01-05,SKU00041,5.74514984164394
2026-01-05,SKU00042,4.969069715110412
2026-01-05,SKU00043,17.07353241857476
2026-01-05,SKU00044,6.722285910014866
2026-01-05,SKU00045,5.377382162263171
2026-01-05,SKU00046,7.046567980958906
2026-01-05,SKU00047,8.24016099921863
2026-01-05,SKU00048,19.33871717898639
2026-01-05,SKU00049,11.197119998496913
2026-01-05,SKU00050,67.97890796182115
2026-01-05,SKU00051,6.84728499418452
2026-01-05,SKU00052,6.011099624933149
2026-01-05,SKU00053,7.593988456661574
2026-01-05,SKU00054,7.671674431301789
2026-01-05,SKU00055,21.069666081835788
2026-01-05,SKU00056,10.875373203236322
2026-01-05,SKU00057,7.241219519272109
2026-01-05,SKU00058,5.080911059983464
2026-01-05,SKU00059,6.03347876954638
2026-01-05,SKU00060,21.62726557022027
2026-01-05,SKU00061,5.982199217513831
2026-01-05,SKU00062,102.20428559027788
2026-01-05,SKU00063,9.093917364038308
2026-01-05,SKU00064,5.017870849350035
2026-01-05,SKU00065,7.267659065518768
2026-01-05,SKU00066,4.92036982557704
2026-01-05,SKU00067,7.870446301144534
2026-01-05,SKU00068,15.208962788981529
2026-01-05,SKU00069,5.024959553060767
2026-01-05,SKU00070,7.229639389945739
2026-01-05,SKU00071,5.409831390338892
2026-01-05,SKU00072,7.474233499503136
2026-01-05,SKU00073,6.7063048702679176
2026-01-05,SKU00074,9.82930010514729
2026-01-05,SKU00075,4.963222832753419
2026-01-05,SKU00076,21.35989424401745
2026-01-05,SKU00077,11.662524277536306
2026-01-05,SKU00078,5.238342671784661
2026-01-05,SKU00079,280.1194416318103
2026-01-05,SKU00080,6.631091524559991
